fontname,ascent,descent
SourceSerif4_18pt-Bold,0.725,0.228
SourceSerif4_18pt-BoldItalic,0.72,0.234
SourceSerif4_18pt-ExtraBold,0.722,0.226
SourceSerif4_18pt-ExtraBoldItalic,0.716,0.233
SourceSerif4_36pt-Bold,0.728,0.235
SourceSerif4_48pt-Bold,0.729,0.24
Spectral-Bold,0.75,0.24
STIXTwoText,0.732,0.235
STIXTwoText-Bold,0.732,0.235
STIXTwoText-BoldItalic,0.732,0.23
StoneSans,0.78,0.265
SuisseWorks,0.823,0.227
SuisseWorks-Italic,0.803,0.227
TEMPO,0.694,0.216
TEMPOD,0.677,0.216
TEMPODK,0.677,0.216
TempoEsperanto-Bold,0.677,0.216
TEMPOK,0.694,0.216
TimesNewerRoman-Bold,0.677,0.202
TimesNewerRoman-BoldItalic,0.692,0.206
TimesNewRoman,0.695,0.216
TimesNewRoman-Bold,0.678,0.216
TimesNewRoman-BoldItalic,0.678,0.216
TimesNewRoman-ExtraBold,0.693,0.207
TimesNewRoman-Italic,0.695,0.216
UnBPro-Black,0.791,0.245
UnBPro-Extrabold,0.791,0.245
Univers,0.75,0.201
Univers-Bold,0.752,0.199
Univers-Light,0.737,0.192
URWBookman-Bold,0.724,0.248
URWBookman-BoldItalic,0.732,0.218
URWBookman-Light,0.717,0.241
URWBookman-LightItalic,0.715,0.221
URWGothic,0.752,0.215
URWGothic-Bold,0.752,0.221
URWGothic-BoldItalic,0.752,0.221
URWGothic-Italic,0.752,0.215
URWPalladioL,0.717,0.271
VectoraLH,0.777,0.202
VectoraLH-Bold,0.777,0.202
VectoraLH-Italic,0.777,0.202
VectoraLH-Light,0.777,0.202
Vegur-Bold,0.749,0.215
Verdana,0.76,0.206
Verdana-Italic,0.76,0.206
Vollkorn-Bold,0.742,0.269
WarnockPro,0.712,0.243
